Location,Data,Goal,Coordinates,Title,Category,Data category
Norway,Terrestrial laser scanning,Predicting ring patterns from crown shape,"60.47200, 8.46895",TLidar-based crown shape indicates tree ring pattern in Norway spruce (Picea abies (L.) H. Karst) trees across competition gradients. A modeling and methodological approach,Tree species classification,LiDAR
Rwanda,Aerial imagery,Mapping tree-level aboveground carbon stocks,"-1.940278, 29.873888",Nation-wide mapping of tree-level aboveground carbon stocks in Rwanda,Canopy and biomass estimation,Drone imagery
"Askot Wildlife Sanctuary, Western Himalaya",Satellite data,Carbon sequestration mapping,"30.2281, 80.0551","Forest carbon sequestration mapping and economic quantification infusing MLPnn-Markov chain and InVEST carbon model in Askot Wildlife Sanctuary, Western Himalaya",Canopy and biomass estimation,Satellite imagery or LiDAR
"Siberia, Russia","Drone-based point clouds, Sentinel-2 labeled image patches",Tree species classification,"66.000000, 100.000000","SiDroForest: a comprehensive forest inventory of Siberian boreal forest investigations including drone-based point clouds, individually labeled trees, synthetically generated tree crowns, and Sentinel-2 labeled image patches",Tree species classification,Drone imagery
Not specified,SAPFLUXNET database,Understanding tree transpiration regulation,"0.00000, 0.00000",Using the SAPFLUXNET database to understand transpiration regulation of trees and forests,Canopy and biomass estimation,Plant data
Not specified,High-resolution remote sensing images,Oil palm tree detection,"0.00000, 0.00000",LARGE-SCALE OIL PALM TREE DETECTION FROM HIGH-RESOLUTION REMOTE SENSING IMAGES USING FASTER-RCNN,Tree species classification,Satellite imagery or LiDAR
"Colorado, USA",Airborne remote sensing data,Tree species classification,"40.05167, -105.57227",Integrating National Ecological Observatory Network (NEON) Airborne Remote Sensing and In-Situ Data for Optimal Tree Species Classification,Tree species classification,Drone imagery
"Alberta, Canada",RGB satellite imagery,Wildfire fuel mapping and exposure assessments,"53.7267, -116.3932",Individual tree detection and classification from RGB satellite imagery with applications to wildfire fuel mapping and exposure assessments,Forest fire monitoring and prevention,Satellite imagery or LiDAR
"Putian City, Fujian Province, China",Remote sensing data,Assessing forest landscape fragmentation,"25.44079, 119.00614",A New Paradigm for Assessing Detailed Dynamics of Forest Landscape Fragmentation,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Costa Rica,Airborne waveform LiDAR and hyperspectral data,Mapping forest age,"10.2951, -85.8145",Mapping tropical dry forest age using airborne waveform LiDAR and hyperspectral metrics,Forest cover assessment,Satellite imagery or LiDAR
Not specified,LiDAR data,Estimating forest structural attributes,Not specified,Advancements in Individual Tree Detection and Forest Structural Attributes Estimation From LiDAR Data: MSITD and SAFER Approaches,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Aerial digital orthophoto map and digital surface model,Modeling forest vegetation height,Not specified,A Method for Forest Vegetation Height Modeling Based on Aerial Digital Orthophoto Map and Digital Surface Model,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Aerial images,Optimizing mapping of rural roads for forest fire management,Not specified,Automatic Rural Road Centerline Detection and Extraction from Aerial Images for a Forest Fire Decision Support System,Forest fire monitoring and prevention,Drone imagery
Indonesia,UAV RGB imagery,Detecting sago palm trees,"-0.7893, 113.9213",Recognition of Sago Palm Trees Based on Transfer Learning,Tree species classification,Drone imagery
"Jinan, China",Baidu Street View images,Tree species classification,"36.66448, 117.00093","Tree abundance, species richness, or species mix? Exploring the relationship between features of urban street trees and pedestrian volume in Jinan, China",Tree species classification,Ground-level photographs
"Bavaria, north of Munich",Multispectral imagery,Single tree detection,"48.1351, 11.6152",NOVEL SINGLE TREE DETECTION BY TRANSFORMERS USING UAV-BASED MULTISPECTRAL IMAGERY,Tree species classification,Drone imagery
"Zagreb, Croatia",Satellite imagery,Mapping allergenic tree species,"45.8150, 15.9819","Mapping of Allergenic Tree Species in Highly Urbanized Area Using PlanetScope Imagery-A Case Study of Zagreb, Croatia",Tree species classification,Satellite imagery
Not specified,UAV imagery,Citrus tree identification,Not specified,Identification of Citrus Trees from Unmanned Aerial Vehicle Imagery Using Convolutional Neural Networks,Tree species classification,Drone imagery
Not specified,Landsat 8 and Sentinel-1 time series data,Detecting forest disturbances,"0.00000, 0.00000",Detecting Forest Changes Using Dense Landsat 8 and Sentinel-1 Time Series Data in Tropical Seasonal Forests,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Airborne laser scanning data,Mapping standing dead trees,Not specified,Comparing field measurements and annotations as training data for UAV-based detection of standing dead trees in coniferous forest,Tree species classification,Satellite imagery or LiDAR
Not specified,Satellite remotely sensed reflectances,Estimating forest canopy height,"44.60515, -68.57720",Estimating Forest Canopy Height Using MODIS BRDF Data Emphasizing Typical-Angle Reflectances,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing data,Improving remote sensing image classification,Not specified,"Improving Deep Forest via Patch-Based Pooling, Morphological Profiling, and Pseudo Labeling for Remote Sensing Image Classification",Tree species classification,Satellite imagery or LiDAR
Morocco,High-resolution satellite imagery,Mapping tree crops,"31.7917, -7.0926","Toward Large-Scale Mapping of Tree Crops with High-Resolution Satellite Imagery and Deep Learning Algorithms: A Case Study of Olive Orchards in Morocco (vol 13, 1740, 2021)",Tree species classification,Satellite imagery or LiDAR
Canada,Polarimetric SAR,Land class separation,"56.1304, -106.3468",A multi-temporal binary-tree classification using polarimetric RADARSAT-2 imagery,Tree species classification,Satellite imagery or LiDAR
China,UAV images,Tree crown extraction,"35.86166, 104.1954",Extraction of Broad-Leaved Tree Crown Based on UAV Visible Images and OBIA-RF Model: A Case Study for Chinese Olive Trees,Tree species classification,Drone imagery
California and Nevada,High resolution imagery,Forest classification and structural estimation,"36.7783, -119.4179",Chimera: A Multi-Task Recurrent Convolutional Neural Network for Forest Classification and Structural Estimation,Forest cover assessment,Satellite imagery or LiDAR
Brazil,WorldView-3 satellite images,Mapping Brazil nut trees,"-3.4653, -62.2159",Accurate mapping of Brazil nut trees (Bertholletia excelsa) in Amazonian forests using WorldView-3 satellite images and convolutional neural networks,Tree species classification,Satellite imagery or LiDAR
Not specified,Aerial images,Forest fire segmentation,Not specified,Forest Fire Segmentation via Temporal Transformer from Aerial Images,Forest fire monitoring and prevention,Drone imagery
Northeast China,Field observations,Predicting fine fuel moisture content,"43.8142, 126.6420",A comparison of five models in predicting surface dead fine fuel moisture content of typical forests in Northeast China,Forest fire monitoring and prevention,Ground-level photographs
Netherlands,Remote sensing data,Predicting Leaf Area Index (LAI),"52.3784, 4.9009","Assessment of Workflow Feature Selection on Forest LAI Prediction with Sentinel-2A MSI, Landsat 7 ETM+ and Landsat 8 OLI",Canopy and biomass estimation,Satellite imagery or LiDAR
India,Remote sensing data,Estimating biomass,"21.225312, 73.195537",Synergistic evaluation of Sentinel 1 and 2 for biomass estimation in a tropical forest of India,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,ICESat-2 data,Estimating canopy height,"66.92192, 16.72465",Improving ICESat-2-based boreal forest height estimation by a multivariate sample quality control approach,Canopy and biomass estimation,Satellite imagery or LiDAR
New York State,Remote sensing data,Mapping historical forest biomass,"43.299428, -74.217933",Mapping historical forest biomass for stock-change assessments at parcel to landscape scales,Canopy and biomass estimation,Satellite imagery or LiDAR
Southeast Finland,Aerial imagery,Monitoring forest canopy mortality,"61.50000, 27.50000",Significant increase in forest canopy mortality in boreal forests in Southeast Finland,Canopy and biomass estimation,Drone imagery
Portugal,UAV imagery,Land cover classification,"39.39987, -8.22445",Object-Based Land Cover Classification of Cork Oak Woodlands using UAV Imagery and Orfeo ToolBox,Forest cover assessment,Drone imagery
Mexico,Satellite observation products,Calculating emissions associated with forest fires,"23.6345, -102.5528",Spatial Distribution of Forest Fire Emissions: A Case Study in Three Mexican Ecoregions,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Amazon,Remote sensing images,Tree species classification,"3.4653, -62.2159",Fusing multi-season UAS images with convolutional neural networks to map tree species in Amazonian forests,Tree species classification,Drone imagery
North-West Italy,UAV multi-temporal and multi-spectral data,Mapping riparian habitats at individual tree level,"45.12345, 8.12345","Mapping Riparian Habitats of Natura 2000 Network (91E0*, 3240) at Individual Tree Level Using UAV Multi-Temporal and Multi-Spectral Data",Habitat degradation and biodiversity monitoring,Drone imagery
Sweden,Field-based sampling data,Estimating aggregation index,"60.12816, 18.64350",Forest fragmentation assessment using field-based sampling data from forest inventories,Habitat degradation and biodiversity monitoring,Ground-level photographs
Not specified,Airborne Laser Scanning data,Characterizing forest structural diversity,"37.57167, -0.64491",Forest structural diversity characterization in Mediterranean landscapes affected by fires using Airborne Laser Scanning data,Canopy and biomass estimation,Satellite imagery or LiDAR
Northern and Southern China,Remote sensing data,Tree species classification,"35.86166, 104.1954",Exploring the Differences in Tree Species Classification between Typical Forest Regions in Northern and Southern China,Tree species classification,Satellite imagery or LiDAR
Guangdong-Hong Kong-Macao Greater Bay Area,Remote sensing data,Mapping the number of mangrove trees,"22.42458, 113.17412",Mapping the number of mangrove trees in the Guangdong-Hong Kong-Macao Greater Bay Area,Tree species classification,Satellite imagery or LiDAR
