Location,Data,Goal,Coordinates,Title,Category
Not specified,UAV-based multispectral images and LiDAR point clouds,Tree species classification,Not specified,Urban Tree Species Classification Using UAV-Based Multispectral Images and LiDAR Point Clouds,Tree species classification
"Dresden, Salzburg, Szeged, Vienna",In situ measured tree physiognomy traits,Identifying tree traits for cooling urban heat islands,"48.20639, 16.37382",Identifying Tree Traits for Cooling Urban Heat Islands-A Cross-City Empirical Analysis,Tree species classification
Not specified,Remote sensing data,Estimating aboveground biomass,"0, 0",Mapping the Global Mangrove Forest Aboveground Biomass Using Multisource Remote Sensing Data,Canopy and biomass estimation
Not specified,Satellite imagery,Tree cover segmentation,Not specified,The Impacts of Quality-Oriented Dataset Labeling on Tree Cover Segmentation Using U-Net: A Case Study in WorldView-3 Imagery,Forest cover assessment
Not specified,"Forest inventory, biomass and climate data",Estimating forest age,"0, 0","Mapping global forest age from forest inventories, biomass and climate data",Forest cover assessment
Dongjak-gu,Aerial images,Tree detection,"37.48409, 126.95686",Detection of Urban Trees Using YOLOv5 from Aerial Images,Tree species classification
Brazil,Remote sensing data,Mapping tree species diversity,"3.46533, -62.21588",Giants of the Amazon: How does environmental variation drive the diversity patterns of large trees?,Tree species classification
Amazon forests,Remote sensing data,Evaluating factors affecting gross primary productivity (GPP),"-3.4653, -62.2159","The importance of physiological, structural and trait responses to drought stress in driving spatial and temporal variation in GPP across Amazon forests",Canopy and biomass estimation
"Kibale National Park, Uganda",Camera traps,Distinguishing elephant phenotypes,"0.32885, 30.39412","Phenotypical characterization of African savannah and forest elephants, with special emphasis on hybrids: the case of Kibale National Park, Uganda",Habitat degradation and biodiversity monitoring
Siberia,Radar data,Estimating above-ground biomass,"60.000000, 105.000000","Estimation of Above-Ground Biomass over Boreal Forests in Siberia Using Updated In Situ, ALOS-2 PALSAR-2, and RADARSAT-2 Data",Canopy and biomass estimation
Not specified,Machine-learning algorithm,Predicting landscape-scale biodiversity recovery,"0, 0",Predicting landscape-scale biodiversity recovery by natural tropical forest regrowth,Habitat degradation and biodiversity monitoring
Not specified,Remote sensing data,Tree species classification,"30.65724, 104.06595",Bilinear Squeeze-and-Excitation Network for Fine-Grained Classification of Tree Species,Tree species classification
Brazil,Remote sensing data,Evaluating public management tools and legislation evolution,"-15.7801, -47.9292","Fire in highland grasslands in the Atlantic Forest Biome, a burned areas time series analysis and its correlation with the legislation",Forest fire monitoring and prevention
Not specified,Not specified,Understanding drivers of dominance and rarity in tree communities,"0, 0","Dominance and rarity in tree communities across the globe: Patterns, predictors and threats",Tree species classification
London,GIS data,Optimizing urban tree planting locations,"51.5074, -0.1278",Prediction of Urban Trees Planting Base on Guided Cellular Automata to Enhance the Connection of Green Infrastructure,Tree species classification
Not specified,UAV images,Counting oil palm trees,Not specified,Automatic detection of individual oil palm trees from UAV images using HOG features and an SVM classifier,Tree species classification
"Montana, USA",Remote sensing data,Estimating leaf area index,"46.92185, -110.45435",Spatially Distributed Overstory and Understory Leaf Area Index Estimated from Forest Inventory Data,Canopy and biomass estimation
British Columbia,Not specified,Tree species selection for reforestation,"53.7267, -127.6476",An ecological approach to climate change-informed tree species selection for reforestation,Tree species classification
Not specified,Multispectral drone imagery,Detecting trees affected by pine wilt disease,Not specified,Multichannel Object Detection for Detecting Suspected Trees With Pine Wilt Disease Using Multispectral Drone Imagery,Tree species classification
Zambia,Field survey data,Species distribution modeling,"(-13.1333, 27.8497)",Distribution of tree species with high economic and livelihood value for Zambia,Tree species classification
Brazil,Satellite imagery,Mapping burned areas,"-14.2350, -51.9253",Burned area estimations derived from Landsat ETM plus and OLI data: Comparing Genetic Programming with Maximum Likelihood and Classification and Regression Trees,Forest fire monitoring and prevention
South Africa,Remote sensing data,Monitoring forest health,"-30.5595, 22.9375",Remote sensing of forest health and vitality: a South African perspective,Habitat degradation and biodiversity monitoring
Similipal biosphere reserve,Digital hemispherical photographs and Sentinel-2 multi-spectral imagery,Mapping leaf area index,"20.46985, 85.36500",Digital hemispherical photographs and Sentinel-2 multi-spectral imagery for mapping leaf area index at regional scale over a tropical deciduous forest,Canopy and biomass estimation
Not specified,Hyperspectral imagery,Tree species classification,Not specified,Morphological Transformation and Spatial-Logical Aggregation for Tree Species Classification Using Hyperspectral Imagery,Tree species classification
China,Remote sensing data,Estimating forest age,"35.86166, 104.195397",A 2020 forest age map for China with 30 m resolution,Forest cover assessment
Not specified,Remote sensing data,Mapping forest ecosystem stability,"-3.4653, -62.2159",Mapping Forest Stability within Major Biomes Using Canopy Indices Derived from MODIS Time Series,Habitat degradation and biodiversity monitoring
"Nainital district, Kumaun Himalaya",Species occurrence records,Assessing the spatial distribution of invasive species,"29.3659, 79.5076",Ecological status and spatial extent of non-native shrubs Lantana camara L. and Ageratina adenophora Sprengel in the forest communities of western Himalaya,Habitat degradation and biodiversity monitoring
Azores,Climatic and topographical variables,Evaluating species distribution modeling,"37.74121, -25.66682",Limitations of Species Distribution Models Based on Available Climate Change Data: A Case Study in the Azorean Forest,Tree species classification
Chile,Satellite imagery,Monitoring land surface phenology,"-38.63432, -71.57356",Assessing land surface phenology in Araucaria-Nothofagus forests in Chile with Landsat 8/Sentinel-2 time series,Forest cover assessment
Not specified,Not specified,Understanding the research context and evolution of large old tree research,"37.77493, -122.41942",Charting the Research Terrain for Large Old Trees: Findings from a Quantitative Bibliometric Examination in the Twenty-First Century,Tree species classification
Not specified,DNA sequencing data,Understanding the evolutionary history and spread of a fungal pathogen,"1.3521, 103.8198","Long evolutionary history of an emerging fungal pathogen of diverse tree species in eastern Asia, Australia and the Pacific Islands",Habitat degradation and biodiversity monitoring
United States,High spatial resolution satellite imagery,Mapping severe forest disturbances,"37.09024, -95.71289",Astrape: A System for Mapping Severe Abiotic Forest Disturbances Using High Spatial Resolution Satellite Imagery and Unsupervised Classification,Habitat degradation and biodiversity monitoring
"California, USA",Passive microwave remote sensing data,Estimating tree mortality,"37.77493, -119.41942",Satellite-based vegetation optical depth as an indicator of drought-driven tree mortality,Habitat degradation and biodiversity monitoring
"British Columbia, Canada",Field survey and archaeological records,Predicting the distribution of culturally important trees,"53.7267, -128.9154",Combining data from field surveys and archaeological records to predict the distribution of culturally important trees,Tree species classification
Southern China,Remote sensing time-series images,Forest-type classification,"23.12911, 113.76328",Forest-Type Classification Using Time-Weighted Dynamic Time Warping Analysis in Mountain Areas: A Case Study in Southern China,Tree species classification
Not specified,Satellite imagery,Global forest cover mapping,"0, 0",Gobal Forest Cover Mapping using Landsat and Google Earth Engine cloud computing,Forest cover assessment
Western Scotland,Remote sensing data,Estimating woodland expansion,"55.86515, -4.25143",Microclimates hold the key to spatial forest planning under climate change: Cyanolichens in temperate rainforest,Forest cover assessment
California's Sierra Nevada,Landsat-based ET data,Assessing forest vulnerability to multi-year drought,"37.40426, -119.57421",Assessing multi-year-drought vulnerability in dense Mediterranean-climate forests using water-balance-based indicators,Habitat degradation and biodiversity monitoring
Not specified,Bioacoustics data,Predicting breeding status of male forest songbirds,Not specified,Can singing rate be used to predict male breeding status of forest songbirds? A comparison of three calibration models,Habitat degradation and biodiversity monitoring
Not specified,Lidar,Detecting and describing structural changes from moderate forest disturbances,Not specified,Application of multidimensional structural characterization to detect and describe moderate forest disturbance,Habitat degradation and biodiversity monitoring
Amazon,Satellite images,Estimating land use and land cover trends,"-3.46531, -62.21588",Environmental conservation policy can bend the trend of future forest losses in the oriental Amazon,Forest cover assessment
Australia,In-situ eddy covariance data,Estimating biomass recovery post-wildfire,"-25.274398, 133.775136",Rapid recovery of net ecosystem production in a semi-arid woodland after a wildfire,Canopy and biomass estimation
Western Ghats,Remote sensing data,Invasive species mapping,"10.4271, 76.6955","Testing the efficacy of hyperspectral (AVIRIS-NG), multispectral (Sentinel-2) and radar (Sentinel-1) remote sensing images to detect native and invasive non-native trees",Tree species classification
